Year,Region,Country Name,Income Group,Cost - Men (% of income per capita),Cost - Men (% of income per capita) - Score,Cost - Women (% of income per capita),Cost - Women (% of income per capita) - Score,Procedures required - Men (number),Procedures required - Men (number) - Score,Procedures required - Women (number),Procedures required - Women (number) - Score,Time - Men (days),Time - Men (days) - Score,Time - Women (days),Time - Women (days)- Score,Cost (Average) - Score,Procedures required (Average) - Score,Time (Average) - Score,Cost (Average),Procedures required (Average),Time (Average)
2008,Europe & Central Asia,Switzerland,High income,2.4,98.80074,2.4,98.80074,6.0,70.58824,6.0,70.58824,18.0,82.41206,18.0,82.41206,98.80074,70.58824,82.41206,2.4,6.0,18.0
2008,Europe & Central Asia,Cyprus,High income,,,,,,,,,,,,,,,,,,
2008,Europe & Central Asia,Czech Republic,High income,10.6,94.72099,10.6,94.72099,10.0,47.05882,10.0,47.05882,32.0,68.34171,32.0,68.34171,94.72099,47.05882,68.34171,10.6,10.0,32.0
2008,Europe & Central Asia,Germany,High income,5.7,97.16813,5.7,97.16813,9.0,52.94118,9.0,52.94118,18.0,82.41206,18.0,82.41206,97.16813,52.94118,82.41206,5.7,9.0,18.0
2008,Europe & Central Asia,Denmark,High income,0.0,100.0,0.0,100.0,5.0,76.47059,5.0,76.47059,6.5,93.96985,6.5,93.96985,100.0,76.47059,93.96985,0.0,5.0,6.5
2008,Europe & Central Asia,Spain,High income,15.1,92.47475,15.1,92.47475,10.0,47.05882,10.0,47.05882,60.0,40.20101,60.0,40.20101,92.47475,47.05882,40.20101,15.1,10.0,60.0
2008,Europe & Central Asia,Estonia,High income,2.0,98.98053,2.0,98.98053,5.0,76.47059,5.0,76.47059,6.5,93.96985,6.5,93.96985,98.98053,76.47059,93.96985,2.0,5.0,6.5
2008,Europe & Central Asia,Finland,High income,1.0,99.49077,1.0,99.49077,3.0,88.23529,3.0,88.23529,17.0,83.41709,17.0,83.41709,99.49077,88.23529,83.41709,1.0,3.0,17.0
2008,Europe & Central Asia,France,High income,1.1,99.46918,1.1,99.46918,5.0,76.47059,5.0,76.47059,7.0,93.46734,7.0,93.46734,99.46918,76.47059,93.46734,1.1,5.0,7.0
2008,Europe & Central Asia,United Kingdom,High income,0.8,99.61019,0.8,99.61019,6.0,70.58824,6.0,70.58824,11.5,88.94472,11.5,88.94472,99.61019,70.58824,88.94472,0.8,6.0,11.5
2008,Europe & Central Asia,Georgia,Upper middle income,9.5,95.23192,9.5,95.23192,5.0,76.47059,5.0,76.47059,11.0,89.44724,11.0,89.44724,95.23192,76.47059,89.44724,9.5,5.0,11.0
2008,Europe & Central Asia,Greece,High income,21.1,89.47493,21.1,89.47493,15.0,17.64706,15.0,17.64706,38.0,62.31156,38.0,62.31156,89.47493,17.64706,62.31156,21.1,15.0,38.0
2008,Europe & Central Asia,Croatia,High income,10.1,94.92892,10.1,94.92892,8.0,58.82353,8.0,58.82353,22.5,77.88945,22.5,77.88945,94.92892,58.82353,77.88945,10.1,8.0,22.5
2008,Europe & Central Asia,Hungary,High income,17.7,91.1558,17.7,91.1558,7.0,64.70588,7.0,64.70588,17.0,83.41709,17.0,83.41709,91.1558,64.70588,83.41709,17.7,7.0,17.0
2008,Europe & Central Asia,Ireland,High income,0.3,99.85511,0.3,99.85511,4.0,82.35294,4.0,82.35294,19.0,81.40704,19.0,81.40704,99.85511,82.35294,81.40704,0.3,4.0,19.0
2008,Europe & Central Asia,Iceland,High income,2.7,98.66919,2.7,98.66919,5.0,76.47059,5.0,76.47059,5.0,95.47739,5.0,95.47739,98.66919,76.47059,95.47739,2.7,5.0,5.0
2008,Europe & Central Asia,Italy,High income,18.7,90.63623,18.7,90.63623,10.0,47.05882,10.0,47.05882,15.0,85.42714,15.0,85.42714,90.63623,47.05882,85.42714,18.7,10.0,15.0
2008,Europe & Central Asia,Kazakhstan,Upper middle income,7.6,96.18591,7.6,96.18591,9.0,52.94118,9.0,52.94118,27.0,73.36683,27.0,73.36683,96.18591,52.94118,73.36683,7.6,9.0,27.0
2008,Europe & Central Asia,Kyrgyz Republic,Lower middle income,9.7,95.16764,9.7,95.16764,9.0,52.94118,9.0,52.94118,21.0,79.39698,21.0,79.39698,95.16764,52.94118,79.39698,9.7,9.0,21.0
2008,Europe & Central Asia,Liechtenstein,High income,,,,,,,,,,,,,,,,,,
2008,Europe & Central Asia,Lithuania,High income,3.0,98.48073,3.0,98.48073,7.0,64.70588,7.0,64.70588,26.0,74.37186,26.0,74.37186,98.48073,64.70588,74.37186,3.0,7.0,26.0
2008,Europe & Central Asia,Luxembourg,High income,10.8,94.58601,10.8,94.58601,5.0,76.47059,5.0,76.47059,24.0,76.38191,24.0,76.38191,94.58601,76.47059,76.38191,10.8,5.0,24.0
2008,Europe & Central Asia,Latvia,High income,3.0,98.48986,3.0,98.48986,5.0,76.47059,5.0,76.47059,16.0,84.42211,16.0,84.42211,98.48986,76.47059,84.42211,3.0,5.0,16.0
2008,Europe & Central Asia,Moldova,Lower middle income,11.5,94.26982,11.5,94.26982,10.0,47.05882,10.0,47.05882,23.0,77.38693,23.0,77.38693,94.26982,47.05882,77.38693,11.5,10.0,23.0
2008,Europe & Central Asia,North Macedonia,Upper middle income,5.9,97.06933,5.9,97.06933,12.0,35.29412,12.0,35.29412,28.0,72.36181,28.0,72.36181,97.06933,35.29412,72.36181,5.9,12.0,28.0
2008,Europe & Central Asia,Montenegro,Upper middle income,6.5,96.75069,6.5,96.75069,15.0,17.64706,15.0,17.64706,26.0,74.37186,26.0,74.37186,96.75069,17.64706,74.37186,6.5,15.0,26.0
2008,Europe & Central Asia,Netherlands,High income,6.0,96.9877,6.0,96.9877,6.0,70.58824,6.0,70.58824,8.0,92.46231,8.0,92.46231,96.9877,70.58824,92.46231,6.0,6.0,8.0
2008,Europe & Central Asia,Norway,High income,2.3,98.8281,2.3,98.8281,5.0,76.47059,5.0,76.47059,8.0,92.46231,8.0,92.46231,98.8281,76.47059,92.46231,2.3,5.0,8.0
2008,Europe & Central Asia,Poland,High income,18.9,90.5348,18.9,90.5348,11.0,41.17647,11.0,41.17647,45.0,55.27638,45.0,55.27638,90.5348,41.17647,55.27638,18.9,11.0,45.0
2008,Europe & Central Asia,Portugal,High income,6.7,96.64842,6.7,96.64842,7.0,64.70588,7.0,64.70588,8.0,92.46231,8.0,92.46231,96.64842,64.70588,92.46231,6.7,7.0,8.0
2008,Europe & Central Asia,Romania,Upper middle income,4.8,97.62362,4.8,97.62362,6.0,70.58824,6.0,70.58824,8.0,92.46231,8.0,92.46231,97.62362,70.58824,92.46231,4.8,6.0,8.0
2008,Europe & Central Asia,Russia,Upper middle income,,,,,,,,,,,,,,,,,,
2008,Europe & Central Asia,San Marino,High income,,,,,,,,,,,,,,,,,,
2008,Europe & Central Asia,Serbia,Upper middle income,8.9,95.57148,8.9,95.57148,11.0,41.17647,11.0,41.17647,23.0,77.38693,23.0,77.38693,95.57148,41.17647,77.38693,8.9,11.0,23.0
2008,Europe & Central Asia,Slovak Republic,High income,4.2,97.90357,4.2,97.90357,10.0,47.05882,10.0,47.05882,37.0,63.31658,37.0,63.31658,97.90357,47.05882,63.31658,4.2,10.0,37.0
2008,Europe & Central Asia,Slovenia,High income,8.5,95.75092,8.5,95.75092,11.0,41.17647,11.0,41.17647,61.5,38.69347,61.5,38.69347,95.75092,41.17647,38.69347,8.5,11.0,61.5
2008,Europe & Central Asia,Sweden,High income,0.6,99.689,0.6,99.689,3.0,88.23529,3.0,88.23529,16.0,84.42211,16.0,84.42211,99.689,88.23529,84.42211,0.6,3.0,16.0
2008,Europe & Central Asia,Tajikistan,Low income,39.6,80.19001,39.6,80.19001,13.0,29.41176,13.0,29.41176,66.0,34.17085,66.0,34.17085,80.19001,29.41176,34.17085,39.6,13.0,66.0
2008,Europe & Central Asia,Turkey,Upper middle income,21.8,89.10188,21.8,89.10188,10.0,47.05882,10.0,47.05882,10.5,89.94975,10.5,89.94975,89.10188,47.05882,89.94975,21.8,10.0,10.5
2008,Europe & Central Asia,Ukraine,Lower middle income,9.8,95.10058,9.8,95.10058,11.0,41.17647,11.0,41.17647,28.0,72.36181,28.0,72.36181,95.10058,41.17647,72.36181,9.8,11.0,28.0
2008,Europe & Central Asia,Uzbekistan,Lower middle income,11.9,94.04072,11.9,94.04072,9.0,52.94118,9.0,52.94118,14.0,86.43216,14.0,86.43216,94.04072,52.94118,86.43216,11.9,9.0,14.0
2008,Europe & Central Asia,Kosovo,Upper middle income,,,,,,,,,,,,,,,,,,
2008,Latin America & Caribbean,Argentina,Upper middle income,13.6,93.18813,13.6,93.18813,13.0,29.41176,13.0,29.41176,29.5,70.85427,29.5,70.85427,93.18813,29.41176,70.85427,13.6,13.0,29.5
2008,Latin America & Caribbean,Antigua and Barbuda,High income,11.3,94.3255,11.3,94.3255,9.0,52.94118,9.0,52.94118,22.0,78.39196,22.0,78.39196,94.3255,52.94118,78.39196,11.3,9.0,22.0
2008,Latin America & Caribbean,The Bahamas,High income,10.3,94.87112,10.3,94.87112,7.0,64.70588,7.0,64.70588,30.5,69.84925,30.5,69.84925,94.87112,64.70588,69.84925,10.3,7.0,30.5
2008,Latin America & Caribbean,Belize,Upper middle income,37.0,81.52055,37.0,81.52055,9.0,52.94118,9.0,52.94118,43.0,57.28643,43.0,57.28643,81.52055,52.94118,57.28643,37.0,9.0,43.0
2008,Latin America & Caribbean,Bolivia,Lower middle income,128.6,35.72218,128.6,35.72218,14.0,23.52941,14.0,23.52941,49.0,51.25628,49.0,51.25628,35.72218,23.52941,51.25628,128.6,14.0,49.0
2008,Latin America & Caribbean,Brazil,Upper middle income,,,,,,,,,,,,,,,,,,
2008,Latin America & Caribbean,Barbados,High income,,,,,,,,,,,,,,,,,,
2008,Latin America & Caribbean,Chile,High income,11.1,94.4692,11.1,94.4692,9.0,52.94118,9.0,52.94118,40.0,60.30151,40.0,60.30151,94.4692,52.94118,60.30151,11.1,9.0,40.0
2008,Latin America & Caribbean,Colombia,Upper middle income,18.6,90.68697,18.6,90.68697,12.0,35.29412,12.0,35.29412,41.0,59.29648,41.0,59.29648,90.68697,35.29412,59.29648,18.6,12.0,41.0
2008,Latin America & Caribbean,Costa Rica,Upper middle income,12.7,93.66129,12.7,93.66129,12.0,35.29412,12.0,35.29412,90.0,10.05025,90.0,10.05025,93.66129,35.29412,10.05025,12.7,12.0,90.0
2008,Latin America & Caribbean,Dominica,Upper middle income,27.1,86.43846,27.1,86.43846,5.0,76.47059,5.0,76.47059,14.0,86.43216,14.0,86.43216,86.43846,76.47059,86.43216,27.1,5.0,14.0
2008,Latin America & Caribbean,Dominican Republic,Upper middle income,31.1,84.45539,31.1,84.45539,9.0,52.94118,9.0,52.94118,25.0,75.37688,25.0,75.37688,84.45539,52.94118,75.37688,31.1,9.0,25.0
2008,Latin America & Caribbean,Ecuador,Upper middle income,29.2,85.38732,29.2,85.38732,14.0,23.52941,14.0,23.52941,65.0,35.17588,65.0,35.17588,85.38732,23.52941,35.17588,29.2,14.0,65.0
2008,Latin America & Caribbean,Grenada,Upper middle income,31.7,84.14195,31.7,84.14195,6.0,70.58824,6.0,70.58824,19.0,81.40704,19.0,81.40704,84.14195,70.58824,81.40704,31.7,6.0,19.0
2008,Latin America & Caribbean,Guatemala,Upper middle income,49.9,75.05689,49.9,75.05689,14.0,23.52941,14.0,23.52941,36.0,64.32161,36.0,64.32161,75.05689,23.52941,64.32161,49.9,14.0,36.0
2008,Latin America & Caribbean,Guyana,Upper middle income,83.1,58.45173,83.1,58.45173,8.0,58.82353,8.0,58.82353,37.0,63.31658,37.0,63.31658,58.45173,58.82353,63.31658,83.1,8.0,37.0
2008,Latin America & Caribbean,Honduras,Lower middle income,58.0,71.02461,58.0,71.02461,12.0,35.29412,12.0,35.29412,20.0,80.40201,20.0,80.40201,71.02461,35.29412,80.40201,58.0,12.0,20.0
2008,Latin America & Caribbean,Haiti,Low income,262.8,0.0,262.8,0.0,13.0,29.41176,13.0,29.41176,202.0,0.0,202.0,0.0,0.0,29.41176,0.0,262.8,13.0,202.0
2008,Latin America & Caribbean,Jamaica,Upper middle income,8.7,95.62916,8.7,95.62916,6.0,70.58824,6.0,70.58824,8.0,92.46231,8.0,92.46231,95.62916,70.58824,92.46231,8.7,6.0,8.0
2008,Latin America & Caribbean,St. Kitts and Nevis,High income,20.7,89.64094,20.7,89.64094,7.0,64.70588,7.0,64.70588,19.0,81.40704,19.0,81.40704,89.64094,64.70588,81.40704,20.7,7.0,19.0
2008,Latin America & Caribbean,St. Lucia,Upper middle income,23.7,88.13148,23.7,88.13148,6.0,70.58824,6.0,70.58824,20.0,80.40201,20.0,80.40201,88.13148,70.58824,80.40201,23.7,6.0,20.0
2008,Latin America & Caribbean,Mexico,Upper middle income,,,,,,,,,,,,,,,,,,
2008,Latin America & Caribbean,Nicaragua,Lower middle income,113.7,43.16866,113.7,43.16866,8.0,58.82353,8.0,58.82353,39.0,61.30653,39.0,61.30653,43.16866,58.82353,61.30653,113.7,8.0,39.0
2008,Latin America & Caribbean,Panama,High income,13.0,93.49693,13.0,93.49693,6.0,70.58824,6.0,70.58824,18.0,82.41206,18.0,82.41206,93.49693,70.58824,82.41206,13.0,6.0,18.0
2008,Latin America & Caribbean,Peru,Upper middle income,28.2,85.92291,28.2,85.92291,11.0,41.17647,11.0,41.17647,74.5,25.62814,74.5,25.62814,85.92291,41.17647,25.62814,28.2,11.0,74.5
2008,Latin America & Caribbean,Puerto Rico,High income,1.7,99.13019,1.7,99.13019,7.0,64.70588,7.0,64.70588,7.0,93.46734,7.0,93.46734,99.13019,64.70588,93.46734,1.7,7.0,7.0
2008,Latin America & Caribbean,Paraguay,Upper middle income,49.8,75.09469,49.8,75.09469,7.0,64.70588,7.0,64.70588,34.0,66.33166,34.0,66.33166,75.09469,64.70588,66.33166,49.8,7.0,34.0
2008,Latin America & Caribbean,El Salvador,Lower middle income,74.7,62.65217,74.7,62.65217,10.0,47.05882,10.0,47.05882,19.5,80.90452,19.5,80.90452,62.65217,47.05882,80.90452,74.7,10.0,19.5
2008,Latin America & Caribbean,Suriname,Upper middle income,137.5,31.26471,137.5,31.26471,13.0,29.41176,13.0,29.41176,689.0,0.0,689.0,0.0,31.26471,29.41176,0.0,137.5,13.0,689.0
2008,Latin America & Caribbean,Trinidad and Tobago,High income,0.9,99.54129,0.9,99.54129,9.0,52.94118,9.0,52.94118,41.0,59.29648,41.0,59.29648,99.54129,52.94118,59.29648,0.9,9.0,41.0
2008,Latin America & Caribbean,Uruguay,High income,46.0,77.00752,46.0,77.00752,11.0,41.17647,11.0,41.17647,43.0,57.28643,43.0,57.28643,77.00752,41.17647,57.28643,46.0,11.0,43.0
2008,Latin America & Caribbean,St. Vincent and the Grenadines,Upper middle income,29.2,85.40665,29.2,85.40665,8.0,58.82353,8.0,58.82353,12.0,88.44221,12.0,88.44221,85.40665,58.82353,88.44221,29.2,8.0,12.0
2008,Latin America & Caribbean,Venezuela,Upper middle income,10.0,94.99091,10.0,94.99091,18.0,0.0,18.0,0.0,142.0,0.0,142.0,0.0,94.99091,0.0,0.0,10.0,18.0,142.0
2008,Middle East & North Africa,United Arab Emirates,High income,13.9,93.06917,13.9,93.06917,9.0,52.94118,10.0,47.05882,18.0,82.41206,19.0,81.40704,93.06917,50.0,81.90955,13.9,9.5,18.5
2008,Middle East & North Africa,Bahrain,High income,0.7,99.64814,0.7,99.64814,7.0,64.70588,8.0,58.82353,9.0,91.45729,10.0,90.45226,99.64814,61.76470499999999,90.954775,0.7,7.5,9.5
2008,Middle East & North Africa,Djibouti,Lower middle income,251.6,0.0,251.6,0.0,11.0,41.17647,11.0,41.17647,44.0,56.28141,44.0,56.28141,0.0,41.17647,56.28141,251.6,11.0,44.0
2008,Middle East & North Africa,Algeria,Upper middle income,13.2,93.41643,13.2,93.41643,13.0,29.41176,13.0,29.41176,22.0,78.39196,22.0,78.39196,93.41643,29.41176,78.39196,13.2,13.0,22.0
2008,Middle East & North Africa,Egypt,Lower middle income,53.8,73.09314,53.8,73.09314,10.0,47.05882,11.0,41.17647,17.0,83.41709,18.0,82.41206,73.09314,44.117644999999996,82.914575,53.8,10.5,17.5
2008,Middle East & North Africa,Iran,Upper middle income,5.3,97.37349,5.3,97.37349,10.0,47.05882,11.0,41.17647,80.0,20.1005,81.0,19.09548,97.37349,44.117644999999996,19.59799,5.3,10.5,80.5
2008,Middle East & North Africa,Iraq,Upper middle income,68.5,65.76797,68.5,65.76797,11.0,41.17647,12.0,35.29412,30.0,70.35176,31.0,69.34673,65.76797,38.235295,69.849245,68.5,11.5,30.5
2008,Middle East & North Africa,Israel,High income,4.4,97.79602,4.4,97.79602,5.0,76.47059,5.0,76.47059,18.0,82.41206,18.0,82.41206,97.79602,76.47059,82.41206,4.4,5.0,18.0
2008,Middle East & North Africa,Jordan,Upper middle income,23.8,88.09612,23.8,88.09612,8.0,58.82353,9.0,52.94118,13.0,87.43719,14.0,86.43216,88.09612,55.882355000000004,86.934675,23.8,8.5,13.5
2008,Middle East & North Africa,Kuwait,High income,1.6,99.18747,1.6,99.18747,13.0,29.41176,14.0,23.52941,35.0,65.32663,36.0,64.32161,99.18747,26.470585,64.82412,1.6,13.5,35.5
2008,Middle East & North Africa,Lebanon,Upper middle income,94.5,52.76991,94.5,52.76991,9.0,52.94118,9.0,52.94118,53.0,47.23618,53.0,47.23618,52.76991,52.94118,47.23618,94.5,9.0,53.0
2008,Middle East & North Africa,Libya,Upper middle income,,,,,,,,,,,,,,,,,,
2008,Middle East & North Africa,Morocco,Lower middle income,13.6,93.17872,13.6,93.17872,7.0,64.70588,7.0,64.70588,12.0,88.44221,12.0,88.44221,93.17872,64.70588,88.44221,13.6,7.0,12.0
2008,Middle East & North Africa,Malta,High income,,,,,,,,,,,,,,,,,,
2008,Middle East & North Africa,Oman,High income,4.4,97.79198,4.4,97.79198,12.0,35.29412,13.0,29.41176,40.0,60.30151,41.0,59.29648,97.79198,32.352940000000004,59.798995000000005,4.4,12.5,40.5
2008,Middle East & North Africa,West Bank and Gaza,Lower middle income,108.2,45.91853,108.2,45.91853,13.0,29.41176,14.0,23.52941,73.0,27.13568,74.0,26.13065,45.91853,26.470585,26.633164999999998,108.2,13.5,73.5
2008,Middle East & North Africa,Qatar,High income,5.7,97.17004,5.7,97.17004,8.0,58.82353,9.0,52.94118,8.0,92.46231,9.0,91.45729,97.17004,55.882355000000004,91.9598,5.7,8.5,8.5
2008,Middle East & North Africa,Saudi Arabia,High income,30.2,84.90295,30.2,84.90295,12.0,35.29412,14.0,23.52941,26.5,73.86935,28.5,71.8593,84.90295,29.411765,72.86432500000001,30.2,13.0,27.5
2008,Middle East & North Africa,Syrian Arab Republic,Low income,55.7,72.13984,55.7,72.13984,13.0,29.41176,14.0,23.52941,43.0,57.28643,44.0,56.28141,72.13984,26.470585,56.78392,55.7,13.5,43.5
2008,Middle East & North Africa,Tunisia,Lower middle income,8.3,95.82603,8.3,95.82603,11.0,41.17647,11.0,41.17647,13.0,87.43719,13.0,87.43719,95.82603,41.17647,87.43719,8.3,11.0,13.0
2008,Middle East & North Africa,Yemen,Low income,178.8,10.59758,178.8,10.59758,12.0,35.29412,13.0,29.41176,63.0,37.18593,64.0,36.1809,10.59758,32.352940000000004,36.683415,178.8,12.5,63.5
2008,North America,Canada,High income,0.8,99.59174,0.8,99.59174,3.0,88.23529,3.0,88.23529,3.5,96.98492,3.5,96.98492,99.59174,88.23529,96.98492,0.8,3.0,3.5
2008,North America,United States,High income,,,,,,,,,,,,,,,,,,
2008,South Asia,Afghanistan,Low income,84.6,57.68769,84.6,57.68769,5.0,76.47059,6.0,70.58824,10.0,90.45226,11.0,89.44724,57.68769,73.529415,89.94975,84.6,5.5,10.5
2008,South Asia,Bangladesh,Lower middle income,,,,,,,,,,,,,,,,,,
2008,South Asia,Bhutan,Lower middle income,8.8,95.57808,8.8,95.57808,8.0,58.82353,8.0,58.82353,48.0,52.26131,48.0,52.26131,95.57808,58.82353,52.26131,8.8,8.0,48.0
2008,South Asia,India,Lower middle income,,,,,,,,,,,,,,,,,,
2008,South Asia,Sri Lanka,Upper middle income,19.7,90.12697,19.7,90.12697,9.0,52.94118,9.0,52.94118,42.0,58.29146,42.0,58.29146,90.12697,52.94118,58.29146,19.7,9.0,42.0
2008,South Asia,Maldives,Upper middle income,13.4,93.30311,13.4,93.30311,5.0,76.47059,5.0,76.47059,9.0,91.45729,9.0,91.45729,93.30311,76.47059,91.45729,13.4,5.0,9.0
2008,South Asia,Nepal,Low income,73.9,63.06485,73.9,63.06485,7.0,64.70588,7.0,64.70588,31.0,69.34673,31.0,69.34673,63.06485,64.70588,69.34673,73.9,7.0,31.0
2008,South Asia,Pakistan,Lower middle income,,,,,,,,,,,,,,,,,,
2008,Sub-Saharan Africa,Angola,Lower middle income,343.7,0.0,343.7,0.0,12.0,35.29412,12.0,35.29412,83.0,17.08543,83.0,17.08543,0.0,35.29412,17.08543,343.7,12.0,83.0
2008,Sub-Saharan Africa,Burundi,Low income,241.2,0.0,241.2,0.0,8.0,58.82353,8.0,58.82353,13.0,87.43719,13.0,87.43719,0.0,58.82353,87.43719,241.2,8.0,13.0
2008,Sub-Saharan Africa,Benin,Low income,197.1,1.4558,197.2,1.41875,10.0,47.05882,11.0,41.17647,34.0,66.33166,35.0,65.32663,1.437275,44.117644999999996,65.829145,197.14999999999998,10.5,34.5
2008,Sub-Saharan Africa,Burkina Faso,Low income,82.1,58.94289,82.1,58.94289,6.0,70.58824,6.0,70.58824,18.0,82.41206,18.0,82.41206,58.94289,70.58824,82.41206,82.1,6.0,18.0
2008,Sub-Saharan Africa,Botswana,Upper middle income,9.3,95.35689,9.3,95.35689,11.0,41.17647,11.0,41.17647,105.0,0.0,105.0,0.0,95.35689,41.17647,0.0,9.3,11.0,105.0
2008,Sub-Saharan Africa,Central African Republic,Low income,210.8,0.0,210.8,0.0,11.0,41.17647,11.0,41.17647,22.0,78.39196,22.0,78.39196,0.0,41.17647,78.39196,210.8,11.0,22.0
2008,Sub-Saharan Africa,Côte d'Ivoire,Lower middle income,135.8,32.11751,135.8,32.11751,10.0,47.05882,10.0,47.05882,42.0,58.29146,42.0,58.29146,32.11751,47.05882,58.29146,135.8,10.0,42.0
2008,Sub-Saharan Africa,Cameroon,Lower middle income,143.5,28.24707,143.5,28.24707,11.0,41.17647,11.0,41.17647,38.0,62.31156,38.0,62.31156,28.24707,41.17647,62.31156,143.5,11.0,38.0
2008,Sub-Saharan Africa,Dem. Rep. Congo,Low income,871.8,0.0,871.8,0.0,14.0,23.52941,15.0,17.64706,132.0,0.0,133.0,0.0,0.0,20.588234999999997,0.0,871.8,14.5,132.5
2008,Sub-Saharan Africa,Congo,Lower middle income,150.1,24.96264,150.1,24.96264,11.0,41.17647,12.0,35.29412,38.0,62.31156,39.0,61.30653,24.96264,38.235295,61.809045,150.1,11.5,38.5
2008,Sub-Saharan Africa,Comoros,Lower middle income,148.6,25.70067,148.6,25.70067,10.0,47.05882,10.0,47.05882,30.0,70.35176,30.0,70.35176,25.70067,47.05882,70.35176,148.6,10.0,30.0
2008,Sub-Saharan Africa,Cabo Verde,Lower middle income,40.1,79.94436,40.1,79.94436,12.0,35.29412,12.0,35.29412,52.0,48.24121,52.0,48.24121,79.94436,35.29412,48.24121,40.1,12.0,52.0
2008,Sub-Saharan Africa,Eritrea,Low income,125.8,37.12218,125.8,37.12218,13.0,29.41176,13.0,29.41176,83.0,17.08543,83.0,17.08543,37.12218,29.41176,17.08543,125.8,13.0,83.0
2008,Sub-Saharan Africa,Ethiopia,Low income,43.0,78.49685,43.0,78.49685,11.0,41.17647,11.0,41.17647,19.0,81.40704,19.0,81.40704,78.49685,41.17647,81.40704,43.0,11.0,19.0
2008,Sub-Saharan Africa,Gabon,Upper middle income,25.6,87.1866,25.6,87.1866,10.0,47.05882,10.0,47.05882,54.0,46.23116,54.0,46.23116,87.1866,47.05882,46.23116,25.6,10.0,54.0
2008,Sub-Saharan Africa,Ghana,Lower middle income,38.9,80.55993,38.9,80.55993,10.0,47.05882,10.0,47.05882,13.0,87.43719,13.0,87.43719,80.55993,47.05882,87.43719,38.9,10.0,13.0
2008,Sub-Saharan Africa,Guinea,Low income,138.2,30.89587,138.2,30.89587,12.0,35.29412,12.0,35.29412,40.0,60.30151,40.0,60.30151,30.89587,35.29412,60.30151,138.2,12.0,40.0
2008,Sub-Saharan Africa,The Gambia,Low income,279.0,0.0,279.0,0.0,9.0,52.94118,9.0,52.94118,32.0,68.34171,32.0,68.34171,0.0,52.94118,68.34171,279.0,9.0,32.0
2008,Sub-Saharan Africa,Guinea-Bissau,Low income,461.9,0.0,461.9,0.0,16.0,11.76471,17.0,5.88235,259.0,0.0,260.0,0.0,0.0,8.82353,0.0,461.9,16.5,259.5
2008,Sub-Saharan Africa,Equatorial Guinea,Upper middle income,101.4,49.28216,101.4,49.28216,18.0,0.0,18.0,0.0,155.0,0.0,155.0,0.0,49.28216,0.0,0.0,101.4,18.0,155.0
2008,Sub-Saharan Africa,Kenya,Lower middle income,58.1,70.93773,58.1,70.93773,14.0,23.52941,14.0,23.52941,45.0,55.27638,45.0,55.27638,70.93773,23.52941,55.27638,58.1,14.0,45.0
2008,Sub-Saharan Africa,Liberia,Low income,489.6,0.0,489.6,0.0,11.0,41.17647,11.0,41.17647,69.0,31.15578,69.0,31.15578,0.0,41.17647,31.15578,489.6,11.0,69.0
2008,Sub-Saharan Africa,Lesotho,Lower middle income,37.5,81.26618,37.5,81.26618,8.0,58.82353,8.0,58.82353,73.0,27.13568,73.0,27.13568,81.26618,58.82353,27.13568,37.5,8.0,73.0
2008,Sub-Saharan Africa,Madagascar,Low income,71.3,64.36639,71.3,64.36639,9.0,52.94118,9.0,52.94118,12.0,88.44221,12.0,88.44221,64.36639,52.94118,88.44221,71.3,9.0,12.0
2008,Sub-Saharan Africa,Mali,Low income,115.2,42.40923,115.2,42.40923,10.0,47.05882,10.0,47.05882,25.0,75.37688,25.0,75.37688,42.40923,47.05882,75.37688,115.2,10.0,25.0
2008,Sub-Saharan Africa,Mozambique,Low income,61.9,69.02617,61.9,69.02617,11.0,41.17647,11.0,41.17647,32.0,68.34171,32.0,68.34171,69.02617,41.17647,68.34171,61.9,11.0,32.0
2008,Sub-Saharan Africa,Mauritania,Lower middle income,83.9,58.04479,83.9,58.04479,11.0,41.17647,11.0,41.17647,50.0,50.25126,50.0,50.25126,58.04479,41.17647,50.25126,83.9,11.0,50.0
2008,Sub-Saharan Africa,Mauritius,Upper middle income,5.3,97.32858,5.4,97.32444,6.0,70.58824,7.0,64.70588,7.0,93.46734,8.0,92.46231,97.32651,67.64706,92.96482499999999,5.35,6.5,7.5
2008,Sub-Saharan Africa,Malawi,Low income,188.7,5.66103,188.7,5.66103,10.0,47.05882,10.0,47.05882,37.0,63.31658,37.0,63.31658,5.66103,47.05882,63.31658,188.7,10.0,37.0
2008,Sub-Saharan Africa,Namibia,Upper middle income,22.3,88.84546,22.3,88.84546,10.0,47.05882,10.0,47.05882,99.0,1.00503,99.0,1.00503,88.84546,47.05882,1.00503,22.3,10.0,99.0
2008,Sub-Saharan Africa,Niger,Low income,174.8,12.58263,174.8,12.58263,12.0,35.29412,12.0,35.29412,24.0,76.38191,24.0,76.38191,12.58263,35.29412,76.38191,174.8,12.0,24.0
2008,Sub-Saharan Africa,Nigeria,Lower middle income,,,,,,,,,,,,,,,,,,
2008,Sub-Saharan Africa,Rwanda,Low income,171.5,14.22936,171.5,14.22936,9.0,52.94118,9.0,52.94118,16.0,84.42211,16.0,84.42211,14.22936,52.94118,84.42211,171.5,9.0,16.0
