Country Name,Country Code,Region,Income Group,Year,Starting a business - Score,Starting a business: Cost - Average (% of income per capita) - Score,Starting a business: Procedures required - Average (number) - Score,Starting a business: Time - Average (days) - Score,Starting a business: Paid-in Minimum capital (% of income per capita) - Score
Burundi,BDI,Sub-Saharan Africa,Low income,2009,61.6,0.0,58.82353,87.43719,100.0
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2009,55.4,46.9222,23.52941,51.25628,100.0
Tajikistan,TJK,Europe & Central Asia,Low income,2009,48.9,86.19007,29.41176,34.17085,45.80089
Mexico,MEX,Latin America & Caribbean,Upper middle income,2009,,,,,97.26146
Israel,ISR,Middle East & North Africa,High income,2009,89.2,97.79937,76.47059,82.41206,100.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2009,57.4,68.86077,76.47059,84.42211,0.0
New Zealand,NZL,East Asia & Pacific,High income,2009,100.0,99.80335,100.0,100.0,100.0
India,IND,South Asia,Lower middle income,2009,,,,,40.15633
Haiti,HTI,Latin America & Caribbean,Low income,2009,30.7,0.0,29.41176,0.0,93.34941
Bangladesh,BGD,South Asia,Lower middle income,2009,,,,,100.0
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2009,63.9,94.28739,35.29412,26.13065,100.0
Honduras,HND,Latin America & Caribbean,Lower middle income,2009,71.6,74.53278,35.29412,80.40201,95.99764
United Kingdom,GBR,Europe & Central Asia,High income,2009,89.8,99.62227,70.58824,88.94472,100.0
South Sudan,SSD,Sub-Saharan Africa,Low income,2009,,,,,100.0
Kuwait,KWT,Middle East & North Africa,High income,2009,67.5,99.33519,26.470585,64.82412,79.56537
Croatia,HRV,Europe & Central Asia,High income,2009,81.9,94.95699,58.82353,77.88945,95.84184
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2009,80.7,97.00425,70.58824,55.27638,99.99938
Bahrain,BHR,Middle East & North Africa,High income,2009,75.0,99.71114,61.76470499999999,90.954775,47.48058
Cyprus,CYP,Europe & Central Asia,High income,2009,89.0,92.96637,70.58824,92.46231,100.0
United States,USA,North America,High income,2009,,,,,100.0
Maldives,MDV,South Asia,Upper middle income,2009,90.2,94.25498,76.47059,91.45729,98.79716
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2009,81.0,98.43295,47.05882,78.39196,100.0
Spain,ESP,Europe & Central Asia,High income,2009,68.9,92.56476,47.05882,39.19598,96.71972
Somalia,SOM,Sub-Saharan Africa,Low income,2009,,,,,100.0
Czech Republic,CZE,Europe & Central Asia,High income,2009,76.4,95.18832,52.94118,65.32663,92.04681
Guyana,GUY,Latin America & Caribbean,Upper middle income,2009,72.2,67.47652,58.82353,62.31156,100.0
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2009,65.8,53.25174,64.70588,45.22613,100.0
Uruguay,URY,Latin America & Caribbean,High income,2009,69.2,78.24374,41.17647,57.28643,100.0
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2009,87.0,96.29869,70.58824,81.40704,99.89798
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2009,46.5,32.4381,47.05882,60.30151,46.02982
Norway,NOR,Europe & Central Asia,High income,2009,91.2,98.94815,76.47059,94.47236,94.74077
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2009,2.2,0.0,8.82353,0.0,0.0
Slovenia,SVN,Europe & Central Asia,High income,2009,83.2,99.94593,64.70588,79.8995,88.30456
Malaysia,MYS,East Asia & Pacific,Upper middle income,2009,78.6,90.55818,44.117644999999996,79.899495,100.0
Austria,AUT,Europe & Central Asia,High income,2009,79.6,97.4305,58.82353,75.37688,86.79017
Dem. Rep. Congo,COD,Sub-Saharan Africa,Low income,2009,30.1,0.0,20.588234999999997,0.0,100.0
Oman,OMN,Middle East & North Africa,High income,2009,58.3,98.12073,50.0,84.92462499999999,0.0
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2009,89.7,97.84355,70.58824,90.45226,100.0
Niger,NER,Sub-Saharan Africa,Low income,2009,32.7,14.96886,35.29412,80.40201,0.0
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2009,,,,,100.0
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2009,65.6,42.3858,58.82353,61.30653,100.0
Mali,MLI,Sub-Saharan Africa,Low income,2009,43.3,48.41241,47.05882,75.37688,2.38867
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2009,85.0,94.04035,64.70588,81.40704,100.0
Hungary,HUN,Europe & Central Asia,High income,2009,91.0,95.80677,76.47059,94.47236,97.31203
Barbados,BRB,Latin America & Caribbean,High income,2009,,,,,100.0
Kosovo,XKX,Europe & Central Asia,Upper middle income,2009,,,,,54.97271
Malta,MLT,Middle East & North Africa,High income,2009,,,,,99.57532
Congo,COG,Sub-Saharan Africa,Lower middle income,2009,38.1,46.81119,38.235295,0.0,67.19315
United Arab Emirates,ARE,Middle East & North Africa,High income,2009,71.2,94.17918,50.0,81.90955,58.58364
Sri Lanka,LKA,South Asia,Upper middle income,2009,71.4,76.49302,52.94118,56.28141,100.0
Comoros,COM,Sub-Saharan Africa,Lower middle income,2009,44.8,23.87349,47.05882,78.39196,29.80138
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2009,91.2,99.00794,76.47059,89.44724,100.0
Poland,POL,Europe & Central Asia,High income,2010,78.5,91.67332,64.70588,61.30653,96.17678
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2010,89.8,97.38717,76.47059,85.42714,100.0
Jordan,JOR,Middle East & North Africa,Upper middle income,2010,82.7,85.91891,61.76470499999999,87.9397,95.03348
Mali,MLI,Sub-Saharan Africa,Low income,2010,59.0,56.5449,70.58824,92.46231,16.35207
Montenegro,MNE,Europe & Central Asia,Upper middle income,2010,78.6,98.61659,29.41176,86.43216,99.99526
Israel,ISR,Middle East & North Africa,High income,2010,89.2,97.90918,76.47059,82.41206,100.0
Pakistan,PAK,South Asia,Lower middle income,2010,,,,,100.0
Mexico,MEX,Latin America & Caribbean,Upper middle income,2010,,,,,97.76936
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2010,64.5,76.08353,23.52941,64.32161,94.11539
Greece,GRC,Europe & Central Asia,High income,2010,70.9,89.91165,17.64706,81.40704,94.64733
Liechtenstein,LIE,Europe & Central Asia,High income,2010,,,,,
Liberia,LBR,Sub-Saharan Africa,Low income,2010,76.8,57.20168,70.58824,79.39698,100.0
France,FRA,Europe & Central Asia,High income,2010,92.5,99.56322,76.47059,93.96985,99.99921
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2010,84.6,87.60894,64.70588,89.44724,96.64267
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2010,4.3,8.20467,8.82353,0.0,0.0
Norway,NOR,Europe & Central Asia,High income,2010,91.3,99.06626,76.47059,94.47236,95.33129
Guinea,GIN,Sub-Saharan Africa,Low income,2010,31.5,30.48003,35.29412,60.30151,0.0
Japan,JPN,East Asia & Pacific,High income,2010,,,,,99.99999
Oman,OMN,Middle East & North Africa,High income,2010,69.8,98.88513,61.76470499999999,86.934675,31.60322
Moldova,MDA,Europe & Central Asia,Lower middle income,2010,84.3,96.51459,52.94118,90.45226,97.15692
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2010,90.1,97.35141,70.58824,92.46231,100.0
Finland,FIN,Europe & Central Asia,High income,2010,92.3,99.5298,88.23529,83.41709,98.20014
Portugal,PRT,Europe & Central Asia,High income,2010,88.1,96.79398,70.58824,93.46734,91.62488
Korea,KOR,East Asia & Pacific,High income,2010,84.5,92.64083,58.82353,86.43216,100.0
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2010,77.3,90.56013,70.58824,48.24121,100.0
Malta,MLT,Middle East & North Africa,High income,2010,,,,,99.60092
Lebanon,LBN,Middle East & North Africa,Upper middle income,2010,73.1,60.75106,58.82353,85.42714,87.25907
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2010,62.0,92.73908,41.17647,14.07035,100.0
Malawi,MWI,Sub-Saharan Africa,Low income,2010,64.3,45.99117,47.05882,64.32161,100.0
Micronesia,FSM,East Asia & Pacific,Lower middle income,2010,70.3,32.17428,64.70588,84.42211,100.0
Malaysia,MYS,East Asia & Pacific,Upper middle income,2010,79.6,92.17596,44.117644999999996,81.90955,100.0
Mongolia,MNG,East Asia & Pacific,Lower middle income,2010,82.4,98.49221,58.82353,83.41709,88.99425
Italy,ITA,Europe & Central Asia,High income,2010,83.8,90.97704,58.82353,87.9397,97.57022
Guyana,GUY,Latin America & Caribbean,Upper middle income,2010,80.9,91.55397,58.82353,73.36683,100.0
Libya,LBY,Middle East & North Africa,Upper middle income,2010,,,,,92.95831
Luxembourg,LUX,Europe & Central Asia,High income,2010,87.2,99.11093,76.47059,78.39196,95.01372
Ireland,IRL,Europe & Central Asia,High income,2010,90.9,99.85558,82.35294,81.40704,100.0
Morocco,MAR,Middle East & North Africa,Lower middle income,2010,86.2,94.57872,64.70588,88.44221,97.05365
Peru,PER,Latin America & Caribbean,Upper middle income,2010,74.6,91.8685,47.05882,59.29648,100.0
Iran,IRN,Middle East & North Africa,Upper middle income,2010,71.4,98.03746,50.0,37.68844,100.0
India,IND,South Asia,Lower middle income,2010,,,,,47.26797
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2010,74.7,68.71664,64.70588,65.32663,100.0
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2010,77.4,86.48379,64.70588,61.30653,97.0161
Nepal,NPL,South Asia,Low income,2010,76.8,73.17704,64.70588,69.34673,100.0
Honduras,HND,Latin America & Caribbean,Lower middle income,2010,73.9,77.18527,35.29412,86.43216,96.53905
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2010,64.6,73.61616,17.64706,67.33668,100.0
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2010,51.2,70.53033,52.94118,81.40704,0.0
Niger,NER,Sub-Saharan Africa,Low income,2010,42.5,40.65992,47.05882,82.41206,0.0
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2010,67.8,89.80085,47.05882,34.17085,100.0
Kosovo,XKX,Europe & Central Asia,Upper middle income,2010,65.5,86.79258,52.94118,48.24121,74.14365
Kiribati,KIR,East Asia & Pacific,Lower middle income,2010,76.5,77.16772,64.70588,69.34673,94.86709
Latvia,LVA,Europe & Central Asia,High income,2010,89.2,98.95282,76.47059,84.92462,96.43817
Indonesia,IDN,East Asia & Pacific,Lower middle income,2010,,,,,85.07216
Germany,DEU,Europe & Central Asia,High income,2010,80.8,97.63635,52.94118,82.91457,89.80129
Madagascar,MDG,Sub-Saharan Africa,Low income,2010,66.6,76.88644,52.94118,88.44221,48.14199
Georgia,GEO,Europe & Central Asia,Upper middle income,2010,96.0,98.1537,88.23529,97.48744,100.0
Myanmar,MMR,East Asia & Pacific,Lower middle income,2010,,,,,0.0
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2010,87.9,91.89969,76.47059,83.41709,100.0
Lithuania,LTU,Europe & Central Asia,High income,2010,82.5,98.78855,64.70588,74.37186,92.21432
Netherlands,NLD,Europe & Central Asia,High income,2010,87.0,97.18094,70.58824,92.46231,87.64836
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2010,86.8,99.04482,64.70588,83.41709,100.0
Panama,PAN,Latin America & Caribbean,High income,2010,88.5,94.92586,70.58824,88.44221,100.0
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2010,66.8,46.97379,58.82353,61.30653,100.0
Maldives,MDV,South Asia,Upper middle income,2010,88.3,95.01176,70.58824,88.44221,98.99645
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2010,81.8,97.60907,58.82353,74.37186,96.33964
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2010,69.4,91.11353,47.05882,46.23116,93.3683
Philippines,PHL,East Asia & Pacific,Lower middle income,2010,62.6,85.60005,0.0,66.33166,98.63113
Iceland,ISL,Europe & Central Asia,High income,2010,91.6,98.50921,76.47059,95.47739,96.05611
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2010,91.4,97.92847,73.529415,93.96985,100.0
Mozambique,MOZ,Sub-Saharan Africa,Low income,2010,69.8,71.61197,41.17647,66.33166,100.0
Iraq,IRQ,Middle East & North Africa,Upper middle income,2010,67.0,67.68759,38.235295,69.849245,92.42219
New Zealand,NZL,East Asia & Pacific,High income,2010,99.9,99.79886,100.0,100.0,100.0
Haiti,HTI,Latin America & Caribbean,Low income,2010,31.1,0.0,29.41176,0.0,95.04429
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2010,,,,,100.0
Palau,PLW,East Asia & Pacific,High income,2010,81.6,97.93079,58.82353,72.36181,97.10839
Grenada,GRD,Latin America & Caribbean,Upper middle income,2010,84.9,87.70808,70.58824,81.40704,100.0
Kuwait,KWT,Middle East & North Africa,High income,2010,69.0,99.5187,26.470585,64.82412,85.20592
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2010,95.5,99.0978,88.23529,94.47236,100.0
Hungary,HUN,Europe & Central Asia,High income,2010,91.3,96.00502,76.47059,95.47739,97.43912
Senegal,SEN,Sub-Saharan Africa,Lower middle income,2010,71.1,68.16812,76.47059,91.45729,48.28121
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2010,89.9,98.54403,70.58824,90.45226,100.0
Egypt,EGY,Middle East & North Africa,Lower middle income,2010,79.3,79.15432,50.0,87.9397,100.0
Djibouti,DJI,Middle East & North Africa,Lower middle income,2010,26.1,0.0,41.17647,63.31658,0.0
Singapore,SGP,East Asia & Pacific,High income,2010,96.5,99.62794,88.23529,97.98995,100.0
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2010,58.2,86.10122,61.76470499999999,84.92462499999999,0.0
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2010,49.7,35.691140000000004,44.117644999999996,64.82412,54.27324
Barbados,BRB,Latin America & Caribbean,High income,2010,,,,,100.0
United Arab Emirates,ARE,Middle East & North Africa,High income,2010,83.8,94.45274,55.882355000000004,84.92462499999999,100.0
Puerto Rico,PRI,Latin America & Caribbean,High income,2010,89.3,99.20024,64.70588,93.46734,100.0
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2010,41.9,97.10646,41.17647,0.0,29.17847
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2010,47.4,33.33198,47.05882,60.30151,48.77684
Slovenia,SVN,Europe & Central Asia,High income,2010,93.0,100.0,88.23529,94.47236,89.1788
Saudi Arabia,SAU,Middle East & North Africa,High income,2010,73.1,96.04664,23.52941,72.86432500000001,100.0
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2010,78.6,78.20348,52.94118,83.9196,99.28211
Bangladesh,BGD,South Asia,Lower middle income,2010,,,,,100.0
United Kingdom,GBR,Europe & Central Asia,High income,2010,89.8,99.64133,70.58824,88.94472,100.0
Croatia,HRV,Europe & Central Asia,High income,2010,82.3,95.92893,58.82353,77.88945,96.64325
South Sudan,SSD,Sub-Saharan Africa,Low income,2010,,,,,100.0
Bahrain,BHR,Middle East & North Africa,High income,2010,75.9,99.73158,61.76470499999999,90.954775,51.19651
San Marino,SMR,Europe & Central Asia,High income,2010,,,,,94.30318
Switzerland,CHE,Europe & Central Asia,High income,2010,86.3,98.85323,70.58824,82.41206,93.39704
Canada,CAN,North America,High income,2010,97.2,99.78955,94.11765,94.97487,100.0
United States,USA,North America,High income,2010,,,,,100.0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2010,71.9,99.29569,47.05882,41.20603,100.0
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2010,36.9,50.77826,0.0,0.0,96.89916
Tonga,TON,East Asia & Pacific,Upper middle income,2010,88.4,95.88728,82.35294,75.37688,100.0
Ukraine,UKR,Europe & Central Asia,Lower middle income,2010,67.9,96.58672,41.17647,72.36181,61.62964
Uruguay,URY,Latin America & Caribbean,High income,2010,64.3,80.01033,41.17647,36.1809,100.0
Belarus,BLR,Europe & Central Asia,Upper middle income,2010,87.8,98.95732,64.70588,87.43719,99.99999
Uganda,UGA,Sub-Saharan Africa,Low income,2010,59.3,57.79057,5.88235,73.36683,100.0
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2010,73.4,40.58524,70.58824,88.44221,93.91242
Dominica,DMA,Latin America & Caribbean,Upper middle income,2010,88.1,88.69203,76.47059,87.43719,100.0
Czech Republic,CZE,Europe & Central Asia,High income,2010,77.3,95.38425,52.94118,68.34171,92.37065
Burundi,BDI,Sub-Saharan Africa,Low income,2010,68.4,27.14978,58.82353,87.43719,100.0
Tajikistan,TJK,Europe & Central Asia,Low income,2010,69.7,87.86807,35.29412,58.29146,97.52005
Bhutan,BTN,South Asia,Lower middle income,2010,77.4,96.59443,58.82353,54.27136,100.0
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2010,78.0,99.63871,52.94118,59.29648,100.0
"Taiwan, China",TWN,East Asia & Pacific,High income,2010,86.8,98.03052,70.58824,78.39196,100.0
Benin,BEN,Sub-Saharan Africa,Low income,2010,39.6,21.337015,44.117644999999996,65.829145,27.30222
Tunisia,TUN,Middle East & North Africa,Lower middle income,2010,81.4,97.16801,41.17647,87.43719,100.0
Seychelles,SYC,Sub-Saharan Africa,High income,2010,76.2,90.39932,47.05882,67.33668,100.0
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2010,83.2,89.48793,58.82353,84.42211,99.99943
Somalia,SOM,Sub-Saharan Africa,Low income,2010,,,,,100.0
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2010,77.8,91.51874,52.94118,76.38191,90.27378
Togo,TGO,Sub-Saharan Africa,Low income,2010,20.2,0.0,64.70588,16.0804,0.0
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2010,53.7,91.82563,29.41176,1.00503,92.54843
Belize,BLZ,Latin America & Caribbean,Upper middle income,2010,73.1,82.37302,52.94118,57.28643,99.9853
Serbia,SRB,Europe & Central Asia,Upper middle income,2010,86.8,96.47469,64.70588,87.43719,98.48227
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2010,61.7,82.47076,29.41176,36.1809,98.62756
Turkey,TUR,Europe & Central Asia,Upper middle income,2010,81.8,92.59867,47.05882,89.94975,97.61672
São Tomé and Principe,STP,Sub-Saharan Africa,Lower middle income,2010,48.0,50.89322,41.17647,0.0,99.9617
Cambodia,KHM,East Asia & Pacific,Lower middle income,2010,34.0,31.32194,41.17647,0.0,63.41477
Cyprus,CYP,Europe & Central Asia,High income,2010,89.3,94.1511,70.58824,92.46231,100.0
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2010,80.7,97.05938,70.58824,55.27638,99.99945
Belgium,BEL,Europe & Central Asia,High income,2010,91.2,97.22253,76.47059,95.9799,95.15385
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2010,68.7,64.92543,64.70588,45.22613,100.0
Sweden,SWE,Europe & Central Asia,High income,2010,91.3,99.7146,88.23529,84.42211,92.86503
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2010,57.0,53.14571,23.52941,51.25628,100.0
Denmark,DNK,Europe & Central Asia,High income,2010,90.2,100.0,76.47059,93.96985,90.34377
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2010,88.0,89.08968,76.47059,86.43216,100.0
Sudan,SDN,Sub-Saharan Africa,Lower middle income,2010,72.3,81.20115,44.117644999999996,63.819095000000004,100.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2010,60.9,74.75604,82.35294,86.43216,0.0
Chile,CHL,Latin America & Caribbean,High income,2010,77.1,95.31281,52.94118,60.30151,100.0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2010,81.7,95.39514,52.94118,78.39196,100.0
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2010,47.2,72.11849,32.352940000000004,36.683415,47.50737
Romania,ROU,Europe & Central Asia,Upper middle income,2010,90.3,98.53756,70.58824,92.46231,99.77758
Ethiopia,ETH,Sub-Saharan Africa,Low income,2010,30.4,0.0,41.17647,80.40201,0.0
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2010,83.4,98.7091,64.70588,75.37688,94.81863
Thailand,THA,East Asia & Pacific,Upper middle income,2010,77.7,91.45299,52.94118,66.33166,99.99844
Angola,AGO,Sub-Saharan Africa,Lower middle income,2010,52.0,24.43583,58.82353,32.1608,92.7468
Yemen,YEM,Middle East & North Africa,Low income,2010,78.5,58.52373,67.64706,87.9397,100.0
The Bahamas,BHS,Latin America & Caribbean,High income,2010,82.6,95.7545,64.70588,69.84925,100.0
Brunei,BRN,East Asia & Pacific,High income,2010,48.8,95.07177,0.0,0.0,99.99905
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2010,85.9,89.5135,64.70588,89.44724,100.0
China,CHN,East Asia & Pacific,Upper middle income,2010,,,,,67.26752
Algeria,DZA,Middle East & North Africa,Upper middle income,2010,73.5,93.93397,29.41176,78.39196,92.26121
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2010,82.9,85.81288,64.70588,81.40704,99.67568
Qatar,QAT,Middle East & North Africa,High income,2010,82.3,97.67866,55.882355000000004,91.9598,83.57851
Fiji,FJI,East Asia & Pacific,Upper middle income,2010,75.6,87.35648,58.82353,56.28141,100.0
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2010,38.3,0.0,47.05882,6.03015,100.0
Comoros,COM,Sub-Saharan Africa,Lower middle income,2010,46.9,27.64069,47.05882,78.39196,34.55545
Albania,ALB,Europe & Central Asia,Upper middle income,2010,87.2,83.90804,70.58824,94.47236,100.0
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2010,64.6,83.03773,35.29412,40.20101,99.86707
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2010,85.1,94.34221,64.70588,81.40704,100.0
Russia,RUS,Europe & Central Asia,Upper middle income,2010,,,,,99.55038
Vietnam,VNM,East Asia & Pacific,Lower middle income,2010,75.9,93.35728,47.05882,63.31658,100.0
Samoa,WSM,East Asia & Pacific,Upper middle income,2010,92.2,95.02694,82.35294,91.45729,100.0
Eritrea,ERI,Sub-Saharan Africa,Low income,2010,33.2,61.74006,29.41176,16.0804,25.76074
Central African Republic,CAF,Sub-Saharan Africa,Low income,2010,32.3,0.0,52.94118,76.38191,0.0
Afghanistan,AFG,South Asia,Low income,2010,87.3,84.89749,73.529415,90.954775,100.0
Austria,AUT,Europe & Central Asia,High income,2010,79.7,97.47088,58.82353,75.37688,86.99778
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2010,82.7,94.95284,52.94118,86.43216,96.54766
Slovak Republic,SVK,Europe & Central Asia,High income,2010,80.9,98.99089,58.82353,71.8593,94.04303
Tanzania,TZA,Sub-Saharan Africa,Low income,2010,60.9,39.14414,35.29412,69.34673,100.0
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2010,64.2,94.77373,35.29412,26.63317,100.0
Spain,ESP,Europe & Central Asia,High income,2010,68.9,92.49218,47.05882,39.19598,96.79159
Australia,AUS,East Asia & Pacific,High income,2010,96.5,99.60414,88.23529,97.98995,100.0
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2010,71.3,73.25954,58.82353,53.26633,100.0
Suriname,SUR,Latin America & Caribbean,Upper middle income,2010,42.7,41.71401,29.41176,0.0,99.82867
Rwanda,RWA,Sub-Saharan Africa,Low income,2010,89.8,94.97243,70.58824,93.46734,100.0
Estonia,EST,Europe & Central Asia,High income,2010,91.0,99.16047,76.47059,93.96985,94.21016
Chad,TCD,Sub-Saharan Africa,Low income,2010,18.8,0.0,29.41176,38.19095,7.6852
Armenia,ARM,Europe & Central Asia,Upper middle income,2010,88.9,98.68078,70.58824,86.43216,100.0
Venezuela,VEN,Latin America & Caribbean,Upper middle income,2010,47.0,87.99098,0.0,0.0,100.0
The Gambia,GMB,Sub-Saharan Africa,Low income,2010,58.0,0.0,58.82353,73.36683,100.0
Brazil,BRA,Latin America & Caribbean,Upper middle income,2010,,,,,100.0
Colombia,COL,Latin America & Caribbean,Upper middle income,2010,81.9,93.44912,52.94118,81.40704,100.0
Congo,COG,Sub-Saharan Africa,Lower middle income,2010,42.7,56.74232,38.235295,0.0,75.87906
Argentina,ARG,Latin America & Caribbean,Upper middle income,2010,72.1,91.93815,23.52941,75.37688,97.54625
Sri Lanka,LKA,South Asia,Upper middle income,2010,72.1,79.03229,52.94118,56.28141,100.0
Dem. Rep. Congo,COD,Sub-Saharan Africa,Low income,2010,30.1,0.0,20.588234999999997,0.0,100.0
Montenegro,MNE,Europe & Central Asia,Upper middle income,2011,85.1,98.92931,52.94118,88.44221,99.9947
Israel,ISR,Middle East & North Africa,High income,2011,89.2,97.87489,76.47059,82.41206,100.0
Italy,ITA,Europe & Central Asia,High income,2011,83.7,90.63974,58.82353,87.9397,97.47939
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2011,84.7,98.74019,64.70588,75.37688,99.994
Tanzania,TZA,Sub-Saharan Africa,Low income,2011,63.4,48.88147,35.29412,69.34673,100.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2011,61.0,75.04323,82.35294,86.43216,0.0
Tajikistan,TJK,Europe & Central Asia,Low income,2011,80.7,81.52666,58.82353,84.42211,97.87585
Puerto Rico,PRI,Latin America & Caribbean,High income,2011,89.3,99.20981,64.70588,93.46734,100.0
Switzerland,CHE,Europe & Central Asia,High income,2011,86.3,98.81084,70.58824,82.41206,93.21021
Morocco,MAR,Middle East & North Africa,Lower middle income,2011,86.3,94.83762,64.70588,88.44221,97.19436
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2011,87.8,88.12463,76.47059,86.43216,100.0
China,CHN,East Asia & Pacific,Upper middle income,2011,,,,,69.00171
Iceland,ISL,Europe & Central Asia,High income,2011,92.0,98.86851,76.47059,95.47739,97.00665
Netherlands,NLD,Europe & Central Asia,High income,2011,86.8,97.13849,70.58824,92.46231,86.88782
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2011,86.1,89.37622,64.70588,90.45226,100.0
Chile,CHL,Latin America & Caribbean,High income,2011,78.0,95.32928,52.94118,63.8191,100.0
Sudan,SDN,Sub-Saharan Africa,Lower middle income,2011,70.9,75.62697,44.117644999999996,63.819095000000004,100.0
India,IND,South Asia,Lower middle income,2011,,,,,49.86664
Nepal,NPL,South Asia,Low income,2011,77.7,76.71473,64.70588,69.34673,100.0
Chad,TCD,Sub-Saharan Africa,Low income,2011,17.7,0.0,29.41176,38.19095,3.33249
Suriname,SUR,Latin America & Caribbean,Upper middle income,2011,43.0,42.74131,29.41176,0.0,99.83982
Central African Republic,CAF,Sub-Saharan Africa,Low income,2011,32.3,0.0,52.94118,76.38191,0.0
Burundi,BDI,Sub-Saharan Africa,Low income,2011,71.0,37.85837,58.82353,87.43719,100.0
Indonesia,IDN,East Asia & Pacific,Lower middle income,2011,,,,,86.35773
Sweden,SWE,Europe & Central Asia,High income,2011,92.2,99.67635,88.23529,84.42211,96.32215
Canada,CAN,North America,High income,2011,97.2,99.77742,94.11765,94.97487,100.0
Iran,IRN,Middle East & North Africa,Upper middle income,2011,70.9,97.92483,50.0,35.67839,100.0
Myanmar,MMR,East Asia & Pacific,Lower middle income,2011,,,,,0.0
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2011,60.2,80.94028,61.76470499999999,86.934675,11.23392
Cambodia,KHM,East Asia & Pacific,Lower middle income,2011,35.1,36.26004,41.17647,0.0,63.00206
Iraq,IRQ,Middle East & North Africa,Upper middle income,2011,62.7,53.76562,38.235295,69.849245,89.10959
Mozambique,MOZ,Sub-Saharan Africa,Low income,2011,74.5,71.52808,47.05882,79.39698,100.0
São Tomé and Principe,STP,Sub-Saharan Africa,Lower middle income,2011,23.6,55.58626,35.29412,0.0,3.58501
